"YEAR","CASEID","FAMINCOME","HH_CHILD","PERNUM","LINENO","DATE","WT06","AGE","SEX","RACE","MARST","POPSTAT","EDUC","EMPSTAT","RETIRED","FULLPART","HOURWAGE_CPS8","SPOUSEPRES","SPSEX","BLS_CAREHH","BLS_CARENHH","BLS_COMM","BLS_EDUC","BLS_HHACT","BLS_LEIS","BLS_OTHER","BLS_PCARE","BLS_PURCH","BLS_SOCIAL","BLS_WORK","BLS_WORK_SEARCH"
2019,20190404190869,6,0,1,1,20190422,6555676.810647000,66,1,110,4,1,30,5,99,99,999.99,3,99,0,0,0,0,55,785,60,390,50,0,0,0
2019,20190404190877,14,0,1,1,20190427,3143728.112657000,50,2,100,1,1,41,1,99,1,999.99,1,1,95,0,0,0,225,294,0,570,106,0,0,0
2019,20190404190879,15,1,1,1,20190426,10640207.81173300,56,1,100,1,1,40,1,99,1,10.0,1,2,30,0,30,0,100,225,15,500,0,0,495,0
2019,20190404190890,13,0,1,1,20190421,7822365.697534000,63,2,100,1,1,21,1,99,2,13.63,1,1,15,60,0,0,370,265,0,585,0,75,0,0
2019,20190404190893,10,1,1,1,20190421,2006633.264922000,48,2,100,4,1,40,1,99,1,999.99,3,99,0,0,0,0,180,316,0,690,49,142,0,0
2019,20190404190904,15,0,1,1,20190428,4585055.494628000,60,1,100,1,1,30,1,99,1,999.99,1,2,0,200,0,0,0,420,0,620,0,150,0,0
2019,20190404190919,15,0,1,1,20190427,5398672.536336000,63,1,100,4,1,41,5,1,99,999.99,2,1,0,0,0,0,325,605,0,450,0,0,0,0
2019,20190404190930,5,0,1,1,20190429,10999577.16559800,66,2,100,1,1,40,5,1,99,999.99,1,1,0,0,15,0,237,365,0,647,170,0,0,0
2019,20190404190934,11,0,1,1,20190428,15789355.74271300,45,1,100,1,1,21,1,99,1,25.5,1,2,0,0,0,0,20,335,0,660,225,80,0,0
2019,20190404190985,13,0,1,1,20190427,6337834.641371000,58,2,100,1,1,32,1,99,1,16.9,1,1,0,0,0,0,0,630,0,660,0,0,0,0
2019,20190404190993,4,0,1,1,20190427,1940852.431729000,60,2,201,6,1,41,5,99,99,999.99,3,99,0,30,0,0,159,314,0,418,3,402,0,0
2019,20190404191002,16,1,1,1,20190428,4382861.671725000,49,2,202,1,1,43,1,99,1,999.99,1,1,150,12,0,0,148,65,0,664,239,47,65,0
2019,20190404191013,4,0,1,1,20190427,3921392.803608000,65,2,110,3,1,21,5,1,99,999.99,3,99,0,0,0,0,120,180,0,960,120,0,0,0
2019,20190404191033,11,0,1,1,20190424,7624091.634164000,31,2,100,6,1,30,1,99,1,22.0,3,99,0,0,0,0,47,195,0,550,0,0,508,0
2019,20190404191042,11,0,1,1,20190424,11166748.49020200,30,2,110,6,1,21,1,99,1,15.83,3,99,0,0,0,0,0,0,0,580,0,0,860,0
